fips,county_name,elevation_m,county_label,median_income_2021,diabetes_pct,obesity_pct,oxygen_proxy_mmhg,oxygen_fraction_of_sea_level,hypoxia_burden,all_cancer_incidence_rate,all_cancer_mortality_rate,all_cancer_incidence_count,all_cancer_mortality_count,all_cancer_incidence_population,all_cancer_mortality_population
27113,Pennington,341.358076302402,"Pennington County, Minnesota",64268.0,7.6,30.3,143.0343198390345,0.957561547255048,0.04243845274495195,,,,,,
27115,Pine,325.080593091803,"Pine County, Minnesota",59840.0,8.9,35.6,143.33188330232517,0.9595536239163404,0.04044637608365964,,,,,,
27117,Pipestone,523.226563826851,"Pipestone County, Minnesota",58288.0,6.9,27.0,139.74135271384827,0.9355163576879437,0.06448364231205628,,,,,,
27119,Polk,308.363498590195,"Polk County, Minnesota",61643.0,7.7,33.4,143.6379711287916,0.9616027680171197,0.03839723198288025,,,,,,
27121,Pope,385.40110991812,"Pope County, Minnesota",67040.0,5.7,25.5,142.23152911540348,0.9521871620843615,0.047812837915638506,,,,,,
27123,Ramsey,274.599974982483,"Ramsey County, Minnesota",71494.0,8.0,28.5,144.25768720308912,0.9657515365338712,0.034248463466128753,,,,,,
27125,Red Lake,332.385914544639,"Red Lake County, Minnesota",62417.0,8.4,23.5,143.19827910584075,0.9586591935359299,0.04134080646407012,,,,,,
27127,Redwood,325.455734918473,"Redwood County, Minnesota",59638.0,9.9,29.1,143.3250201791096,0.9595076778602282,0.04049232213977183,,,,,,
27129,Renville,322.445686383763,"Renville County, Minnesota",61233.0,8.0,31.7,143.38009525967186,0.9598763850307712,0.04012361496922878,,,,,,
27131,Rice,329.369882601181,"Rice County, Minnesota",71384.0,6.2,26.7,143.2534267052094,0.9590283861928969,0.040971613807103124,,,,,,
27133,Rock,468.584896269299,"Rock County, Minnesota",68638.0,7.0,27.8,140.7246155916639,0.9420989367759497,0.05790106322405031,,,,,,
27135,Roseau,332.833943498975,"Roseau County, Minnesota",65651.0,8.5,31.6,143.19008834969156,0.9586043594713486,0.04139564052865141,,,,,,
27137,St. Louis,417.813914549712,"St. Louis County, Minnesota",61213.0,7.3,27.5,141.6429106408003,0.94824658042593,0.05175341957406998,,,,,,
27139,Scott,282.737083169155,"Scott County, Minnesota",109031.0,7.2,28.6,144.10814883603197,0.9647504328106922,0.03524956718930783,,,,,,
27141,Sherburne,297.125077658552,"Sherburne County, Minnesota",92374.0,6.8,31.1,143.8440234051909,0.9629822113341249,0.03701778866587513,,,,,,
27143,Sibley,304.110960565611,"Sibley County, Minnesota",67412.0,8.9,31.6,143.71591351072595,0.9621245632612666,0.03787543673873339,,,,,,
27145,Stearns,363.976788782811,"Stearns County, Minnesota",68212.0,6.9,29.3,142.62161165652034,0.9547986195447067,0.045201380455293316,,,,,,
27147,Steele,368.596951508468,"Steele County, Minnesota",73468.0,7.9,32.1,142.53742177014794,0.954234999583087,0.045765000416913004,,,,,,
27149,Stevens,343.141240162215,"Stevens County, Minnesota",65750.0,8.1,25.4,143.00175085795084,0.9573435100458376,0.04265648995416238,,,,,,
27151,Swift,324.488803562973,"Swift County, Minnesota",53664.0,8.1,32.6,143.34271044575266,0.9596261076127319,0.04037389238726807,,,,,,
27153,Todd,403.972631584717,"Todd County, Minnesota",58021.0,7.5,35.6,141.89404305769324,0.9499278185089056,0.05007218149109438,,,,,,
27155,Traverse,318.143572373278,"Traverse County, Minnesota",56667.0,8.6,26.3,143.45883919403514,0.9604035463701666,0.03959645362983344,,,,,,
27157,Wabasha,303.715853059796,"Wabasha County, Minnesota",70603.0,8.1,37.3,143.72315684129063,0.9621730546641033,0.0378269453358967,,,,,,
27159,Wadena,410.461639768841,"Wadena County, Minnesota",50100.0,8.1,32.8,141.77626634455038,0.9491393472399501,0.05086065276004992,,,,,,
27161,Waseca,338.735735079943,"Waseca County, Minnesota",66502.0,8.3,24.3,143.08222636448446,0.9578822636165834,0.04211773638341665,,,,,,
27163,Washington,279.237225610083,"Washington County, Minnesota",102258.0,7.6,26.1,144.17245248533752,0.9651809218149567,0.03481907818504326,,,,,,
27165,Watonwan,332.458008196369,"Watonwan County, Minnesota",59494.0,8.7,28.9,143.19696108330677,0.9586503698655103,0.04134963013448967,,,,,,
27167,Wilkin,301.68821106696,"Wilkin County, Minnesota",57907.0,8.8,25.9,143.7603330551227,0.9624219355821807,0.0375780644178193,,,,,,
27169,Winona,328.398478696463,"Winona County, Minnesota",61753.0,8.2,30.0,143.2711920756225,0.9591473187371945,0.0408526812628055,,,,,,
27171,Wright,303.000633249932,"Wright County, Minnesota",94276.0,7.0,32.3,143.7362693523307,0.96226083804626,0.03773916195374005,,,,,,
27173,Yellow Medicine,341.947702583027,"Yellow Medicine County, Minnesota",65014.0,7.7,30.8,143.02354986080627,0.9574894462583939,0.04251055374160606,,,,,,
28001,Adams,56.3521039176367,"Adams County, Mississippi",33860.0,11.7,34.8,148.31260290452028,0.9928976882925596,0.007102311707440356,,,,,,
