model_name,term,coefficient,std_error,z_value,p_value,ci_lower,ci_upper
mortality_elevation_reproduction,const,5.379228449236267,0.017758054000194964,302.91767606840307,0.0,5.344422663395885,5.41403423507665
mortality_elevation_reproduction,elevation_m,-0.0001144978325072235,4.7342513114751844e-06,-24.184992509733537,3.200540148729502e-129,-0.00012377696507771487,-0.00010521869993673214
mortality_elevation_reproduction,median_income_2021,-5.035126016660634e-06,1.5524814342151282e-07,-32.43276154993885,9.480497125554449e-231,-5.339412377766799e-06,-4.730839655554469e-06
mortality_elevation_reproduction,diabetes_pct,0.0023733569666576884,0.0016749880860201195,1.416939610774748,0.15650058421400057,-0.0009096196819417457,0.0056563336152571225
mortality_elevation_reproduction,obesity_pct,0.0014882372853909241,0.000505798812884928,2.942350293197517,0.003257312385119083,0.0004968716121364653,0.0024796029586453827
incidence_elevation_primary,const,6.242383976851758,0.011315765160518855,551.6537227753435,0.0,6.220205077137141,6.264562876566375
incidence_elevation_primary,elevation_m,-0.00013051751574636025,2.8543585414930947e-06,-45.72569067587685,0.0,-0.00013611205848768673,-0.00012492297300503377
incidence_elevation_primary,median_income_2021,-9.839244400534314e-07,9.28466119751941e-08,-10.597311190162838,3.066706166425733e-26,-1.165903799524812e-06,-8.019450805820509e-07
incidence_elevation_primary,diabetes_pct,-0.0140315878396217,0.0011003801982205903,-12.75158155545873,3.0548410112203863e-37,-0.016188333028134057,-0.011874842651109344
incidence_elevation_primary,obesity_pct,0.004304545566771279,0.000327442675902125,13.145951592632168,1.795326145625149e-39,0.003662757922003114,0.004946333211539444
mortality_oxygen_proxy,const,4.3857846044341935,0.04002843901864486,109.56671586397204,0.0,4.3073288639576495,4.4642403449107375
mortality_oxygen_proxy,oxygen_proxy_mmhg,0.006660472446100279,0.0002778356447153043,23.972706788307185,5.357682709693399e-127,0.006115914582458282,0.0072050303097422755
mortality_oxygen_proxy,median_income_2021,-5.043798469002771e-06,1.5523090349817027e-07,-32.49223160684768,1.3728127446681566e-231,-5.348051039859185e-06,-4.739545898146357e-06
mortality_oxygen_proxy,diabetes_pct,0.0020913610574962247,0.0016781671902338774,1.246217343341555,0.21268461353076895,-0.001197846635362175,0.005380568750354624
mortality_oxygen_proxy,obesity_pct,0.0016113451850570534,0.000505520033673924,3.187500153745481,0.001435083816745332,0.0006205259190561624,0.002602164451057944
incidence_oxygen_proxy_primary,const,5.1011029110656505,0.024214550285895635,210.66271522031587,0.0,5.053642392505295,5.148563429626006
incidence_oxygen_proxy_primary,oxygen_proxy_mmhg,0.007655235037887792,0.00016813882975663387,45.52925132741836,0.0,0.007325682931564789,0.007984787144210794
incidence_oxygen_proxy_primary,median_income_2021,-9.905305404259114e-07,9.2841261306554e-08,-10.669076728236847,1.4203060744877925e-26,-1.1724994125867573e-06,-8.085616682650655e-07
incidence_oxygen_proxy_primary,diabetes_pct,-0.014371133950999357,0.0011021747605587098,-13.038888627529813,7.35209123874335e-39,-0.016531396481694428,-0.012210871420304286
incidence_oxygen_proxy_primary,obesity_pct,0.004429739699636879,0.00032726402174883913,13.535675800734708,9.629280160005269e-42,0.0037883022170091545,0.005071177182264604
