model_name,analysis_group,event_type,site,fold,n_test,outcome_r2,treatment_r2
site_incidence__male_and_female_breast__direct_effect,site,Incidence,Male and Female Breast,4,195,0.1423249475137518,0.8220870328676396
site_incidence__colon_and_rectum__total_effect,site,Incidence,Colon and Rectum,0,191,0.4074225057551155,0.7837564026473784
site_incidence__colon_and_rectum__total_effect,site,Incidence,Colon and Rectum,1,191,0.27368006331721284,0.7398542794720693
site_incidence__colon_and_rectum__total_effect,site,Incidence,Colon and Rectum,2,191,0.32424738198443803,0.7802155632098586
site_incidence__colon_and_rectum__total_effect,site,Incidence,Colon and Rectum,3,191,0.4071977879064197,0.8003830134576392
site_incidence__colon_and_rectum__total_effect,site,Incidence,Colon and Rectum,4,190,0.48912817458026536,0.8361750272355858
site_incidence__colon_and_rectum__direct_effect,site,Incidence,Colon and Rectum,0,191,0.4143167466322456,0.7785917141873655
site_incidence__colon_and_rectum__direct_effect,site,Incidence,Colon and Rectum,1,191,0.2770607085269189,0.7498864440533513
site_incidence__colon_and_rectum__direct_effect,site,Incidence,Colon and Rectum,2,191,0.3267437648998922,0.7901236677171343
site_incidence__colon_and_rectum__direct_effect,site,Incidence,Colon and Rectum,3,191,0.4031585925014235,0.8063240331510102
site_incidence__colon_and_rectum__direct_effect,site,Incidence,Colon and Rectum,4,190,0.4987254984059317,0.8342137768359976
site_incidence__melanomas_of_the_skin__total_effect,site,Incidence,Melanomas of the Skin,0,161,0.42397336045807976,0.8327600558359475
site_incidence__melanomas_of_the_skin__total_effect,site,Incidence,Melanomas of the Skin,1,160,0.40353345651192707,0.824660640283708
site_incidence__melanomas_of_the_skin__total_effect,site,Incidence,Melanomas of the Skin,2,160,0.42500589908321695,0.738036432521939
site_incidence__melanomas_of_the_skin__total_effect,site,Incidence,Melanomas of the Skin,3,160,0.4626562055024992,0.8220689012216482
site_incidence__melanomas_of_the_skin__total_effect,site,Incidence,Melanomas of the Skin,4,160,0.3838880338046923,0.7391550820312951
site_incidence__melanomas_of_the_skin__direct_effect,site,Incidence,Melanomas of the Skin,0,161,0.4190735190805599,0.8281488254165873
site_incidence__melanomas_of_the_skin__direct_effect,site,Incidence,Melanomas of the Skin,1,160,0.40348345321245416,0.8298403410200231
site_incidence__melanomas_of_the_skin__direct_effect,site,Incidence,Melanomas of the Skin,2,160,0.41923770405873384,0.7518046480326104
site_incidence__melanomas_of_the_skin__direct_effect,site,Incidence,Melanomas of the Skin,3,160,0.46454521936812365,0.8203770206334255
site_incidence__melanomas_of_the_skin__direct_effect,site,Incidence,Melanomas of the Skin,4,160,0.38200149031101927,0.747664904232587
site_incidence__urinary_bladder__total_effect,site,Incidence,Urinary Bladder,0,160,0.15960687174987842,0.7453250670027853
site_incidence__urinary_bladder__total_effect,site,Incidence,Urinary Bladder,1,160,0.27748755132826153,0.8350378236630528
site_incidence__urinary_bladder__total_effect,site,Incidence,Urinary Bladder,2,159,0.27222422218754894,0.75447143821592
site_incidence__urinary_bladder__total_effect,site,Incidence,Urinary Bladder,3,159,0.3760777099379392,0.8100791888844
site_incidence__urinary_bladder__total_effect,site,Incidence,Urinary Bladder,4,159,0.2602056447580682,0.717286475013137
site_incidence__urinary_bladder__direct_effect,site,Incidence,Urinary Bladder,0,160,0.1640355717741614,0.7589513185368048
site_incidence__urinary_bladder__direct_effect,site,Incidence,Urinary Bladder,1,160,0.2848613454513771,0.8379641705993914
site_incidence__urinary_bladder__direct_effect,site,Incidence,Urinary Bladder,2,159,0.2644394549579574,0.7551720347305593
site_incidence__urinary_bladder__direct_effect,site,Incidence,Urinary Bladder,3,159,0.37842834443176043,0.8096852781360735
site_incidence__urinary_bladder__direct_effect,site,Incidence,Urinary Bladder,4,159,0.2568258451566031,0.7166045722187064
site_incidence__kidney_and_renal_pelvis__total_effect,site,Incidence,Kidney and Renal Pelvis,0,158,0.33684403719289124,0.737002134412597
site_incidence__kidney_and_renal_pelvis__total_effect,site,Incidence,Kidney and Renal Pelvis,1,157,0.3634429761033602,0.7604122088631143
site_incidence__kidney_and_renal_pelvis__total_effect,site,Incidence,Kidney and Renal Pelvis,2,157,0.36238346031774793,0.7844365934911087
site_incidence__kidney_and_renal_pelvis__total_effect,site,Incidence,Kidney and Renal Pelvis,3,157,0.4566905271807499,0.7677381633631073
site_incidence__kidney_and_renal_pelvis__total_effect,site,Incidence,Kidney and Renal Pelvis,4,157,0.4678902484053662,0.7098432232660288
site_incidence__kidney_and_renal_pelvis__direct_effect,site,Incidence,Kidney and Renal Pelvis,0,158,0.32317493411774634,0.7466092458152931
site_incidence__kidney_and_renal_pelvis__direct_effect,site,Incidence,Kidney and Renal Pelvis,1,157,0.3711671410286289,0.7749980398572366
