model_name,outcome,analysis_group,event_type,site,effect_type,support_count,seed,n_rows,slope,slope_se,p_value,effect_per_sd_treatment,effect_q90_minus_q10,effect_q90_minus_q10_pct_of_mean_outcome,outcome_cv_mean_r2,treatment_cv_mean_r2
incidence_total_effect,all_cancer_incidence_rate,all_cancer,Incidence,All Cancer Sites Combined,total_effect,,20260306,1023,-285.9230251334221,51.83640371857781,3.470526136209905e-08,-19.47751302148976,-42.875066395482854,-0.09347287447181368,0.46207460523549154,0.808722257936356
incidence_direct_effect,all_cancer_incidence_rate,all_cancer,Incidence,All Cancer Sites Combined,direct_effect,,20260306,1023,-296.82165735843296,53.71111526272959,3.271268235887044e-08,-20.219944488770228,-44.509350937797144,-0.09703581411757162,0.4625364311525276,0.8092809676955335
mortality_total_effect,all_cancer_mortality_rate,all_cancer,Mortality,All Cancer Sites Combined,total_effect,,20260306,1211,-97.01157748359255,33.04829406391519,0.003330654960475997,-6.095223746684327,-12.464864478809181,-0.07516193046459595,0.48415598264747856,0.797522483311988
mortality_direct_effect,all_cancer_mortality_rate,all_cancer,Mortality,All Cancer Sites Combined,direct_effect,,20260306,1211,-96.56735564516028,33.426028906858726,0.003864853211737115,-6.067313351155854,-12.407787115898325,-0.07481775947184255,0.4828593242308579,0.7993551872038714
