model_name,outcome,analysis_group,event_type,site,effect_type,support_count,seeds_tested,slope_mean,slope_sd,slope_min,slope_max,min_p_value,max_p_value,mean_outcome_cv_r2,mean_treatment_cv_r2,sign_consistent
incidence_direct_effect,all_cancer_incidence_rate,all_cancer,Incidence,All Cancer Sites Combined,direct_effect,,1,-296.82165735843296,0.0,-296.82165735843296,-296.82165735843296,3.271268235887044e-08,3.271268235887044e-08,0.4625364311525276,0.8092809676955335,True
incidence_total_effect,all_cancer_incidence_rate,all_cancer,Incidence,All Cancer Sites Combined,total_effect,,1,-285.9230251334221,0.0,-285.9230251334221,-285.9230251334221,3.470526136209905e-08,3.470526136209905e-08,0.46207460523549154,0.808722257936356,True
mortality_direct_effect,all_cancer_mortality_rate,all_cancer,Mortality,All Cancer Sites Combined,direct_effect,,1,-96.56735564516028,0.0,-96.56735564516028,-96.56735564516028,0.003864853211737115,0.003864853211737115,0.4828593242308579,0.7993551872038714,True
mortality_total_effect,all_cancer_mortality_rate,all_cancer,Mortality,All Cancer Sites Combined,total_effect,,1,-97.01157748359255,0.0,-97.01157748359255,-97.01157748359255,0.003330654960475997,0.003330654960475997,0.48415598264747856,0.797522483311988,True
