source,feature,source_column
acs_dp02,acs_dp02_dp02_0017pm,dp02_0017pm
acs_dp02,acs_dp02_dp02_0018e,dp02_0018e
acs_dp02,acs_dp02_dp02_0018m,dp02_0018m
acs_dp02,acs_dp02_dp02_0018pe,dp02_0018pe
acs_dp02,acs_dp02_dp02_0018pm,dp02_0018pm
acs_dp02,acs_dp02_dp02_0019e,dp02_0019e
acs_dp02,acs_dp02_dp02_0019m,dp02_0019m
acs_dp02,acs_dp02_dp02_0019pe,dp02_0019pe
acs_dp02,acs_dp02_dp02_0019pm,dp02_0019pm
acs_dp02,acs_dp02_dp02_0020e,dp02_0020e
acs_dp02,acs_dp02_dp02_0020m,dp02_0020m
acs_dp02,acs_dp02_dp02_0020pe,dp02_0020pe
acs_dp02,acs_dp02_dp02_0020pm,dp02_0020pm
acs_dp02,acs_dp02_dp02_0021e,dp02_0021e
acs_dp02,acs_dp02_dp02_0021m,dp02_0021m
acs_dp02,acs_dp02_dp02_0021pe,dp02_0021pe
acs_dp02,acs_dp02_dp02_0021pm,dp02_0021pm
acs_dp02,acs_dp02_dp02_0022e,dp02_0022e
acs_dp02,acs_dp02_dp02_0022m,dp02_0022m
acs_dp02,acs_dp02_dp02_0022pe,dp02_0022pe
acs_dp02,acs_dp02_dp02_0022pm,dp02_0022pm
acs_dp02,acs_dp02_dp02_0023e,dp02_0023e
acs_dp02,acs_dp02_dp02_0023m,dp02_0023m
acs_dp02,acs_dp02_dp02_0023pe,dp02_0023pe
acs_dp02,acs_dp02_dp02_0023pm,dp02_0023pm
acs_dp02,acs_dp02_dp02_0024e,dp02_0024e
acs_dp02,acs_dp02_dp02_0024m,dp02_0024m
acs_dp02,acs_dp02_dp02_0024pe,dp02_0024pe
acs_dp02,acs_dp02_dp02_0024pm,dp02_0024pm
acs_dp02,acs_dp02_dp02_0025e,dp02_0025e
acs_dp02,acs_dp02_dp02_0025m,dp02_0025m
acs_dp02,acs_dp02_dp02_0025pe,dp02_0025pe
acs_dp02,acs_dp02_dp02_0025pm,dp02_0025pm
acs_dp02,acs_dp02_dp02_0026e,dp02_0026e
acs_dp02,acs_dp02_dp02_0026m,dp02_0026m
acs_dp02,acs_dp02_dp02_0026pe,dp02_0026pe
acs_dp02,acs_dp02_dp02_0026pm,dp02_0026pm
acs_dp02,acs_dp02_dp02_0027e,dp02_0027e
acs_dp02,acs_dp02_dp02_0027m,dp02_0027m
acs_dp02,acs_dp02_dp02_0027pe,dp02_0027pe
acs_dp02,acs_dp02_dp02_0027pm,dp02_0027pm
acs_dp02,acs_dp02_dp02_0028e,dp02_0028e
