total_loss,reconstruction_loss,auxiliary_loss,consistency_loss,embedding_loss,epoch
1.7330456788723285,1.0369975979511554,1.9861014622908373,0.0030254646956634065,0.3124228509572836,1
1.6656559430635893,1.0327734397007868,1.8044090912892268,0.004261954347244822,0.5476968105022724,2
1.5588025679955115,0.9847996234893799,1.6365678035295927,0.003292593012492244,0.7621272160456731,3
1.4241021229670598,0.8887402552824754,1.526407553599431,0.002743234159424901,0.8668329761578486,4
1.3163303320224469,0.8161068283594571,1.4262606639128466,0.0022537863293949226,0.937656466777508,5
1.295296283868643,0.8335952575390155,1.316469275034391,0.001777982751194101,0.9846029877662659,6
1.1622945345365083,0.7335246801376343,1.2225349683028002,0.0015023999775831515,1.0140567559462328,7
1.0711338290801415,0.664321271272806,1.159946579199571,0.0012592674824050986,1.0328427186379066,8
0.999241828918457,0.6128423443207374,1.1017228640042818,0.0010946020842171633,1.0456587901482215,9
0.9644114466813895,0.5915049727146442,1.0632361815525935,0.001005697964081684,1.0447781544465284,10
0.9294354640520536,0.5715571573147407,1.0203951551364019,0.0008677168292566561,1.0461728939643273,11
0.9144351803339444,0.5667547216782203,0.9913261349384601,0.0007680203326834509,1.0485947957405677,12
0.9101105103125939,0.5752778122058282,0.9546782695330106,0.000712910031255048,1.0341667670470018,13
0.8673048477906448,0.5394430298071641,0.9348107209572425,0.0006691512848752049,1.0215262999901404,14
0.8963611492743859,0.5792077710995307,0.9042367614232577,0.0006572924187191977,1.0123996367821326,15
0.828556858576261,0.5174650824986972,0.8869584615413959,0.0006108402202908809,1.007209952060993,16
0.821647414794335,0.5183215829042288,0.8647718796363244,0.000614143916978859,1.0043131388150728,17
0.7844399993236248,0.48708762113864607,0.8477561565545889,0.0005593368819413277,0.9958125948905945,18
0.7703307683651264,0.48179461176578814,0.8226035879208491,0.0005057029864894083,0.9969728405659015,19
0.7485492825508118,0.46718275317778957,0.8021605335749112,0.00045614587725140154,0.9926131826180679,20
0.7845870806620672,0.5021794552986438,0.8051698758051946,0.00042665262187186343,0.9830153355231652,21
0.7280396498166598,0.45308062663445103,0.7839209620769207,0.00036748864938719914,0.9896398094984201,22
0.7104401634289668,0.4386254594876216,0.7749447134824899,0.00036147864347395417,0.9873960522504953,23
0.7082465245173528,0.440494172848188,0.763361408160283,0.00033713208260731056,0.9831545031987704,24
0.7555643503482525,0.48760228661390453,0.7639868809626653,0.0003078359676202616,0.9794330642773554,25
0.7295892697114211,0.4689548588716067,0.7430627987934992,0.00028555314146125544,0.9820829950846158,26
0.6774003826654874,0.41581931022497326,0.7457912793526282,0.00026675052896070364,0.9748802689405588,27
0.7135770550140967,0.4553546767968398,0.736214660681211,0.0002480061868062386,0.9705339945279635,28
0.683138159605173,0.4309168274586017,0.7190773349541885,0.00022660595109650435,0.9752116295007559,29
0.7001241583090562,0.44731415005830616,0.720778607405149,0.0002187537409974119,0.9656194219222436,30
0.6905941275449899,0.43952572574982274,0.7158089784475473,0.00020151333368490808,0.9697591203909653,31
0.6808950992730948,0.43173068303328294,0.7103798526983994,0.00019352489974922859,0.9662134005473211,32
0.7176619859842154,0.47177131130145145,0.701043046437777,0.00017738194751123397,0.9625174403190613,33
0.705345516021435,0.46014749774566066,0.6990704032090994,0.00016953598130315257,0.9620145284212552,34
0.6214338678580064,0.3768886900865115,0.6972121963134179,0.00015700613976850247,0.963313639163971,35
0.6470323067445022,0.4050917396178612,0.6897743436006399,0.00015475360179642358,0.9617105630727915,36
0.6026123899679917,0.36093000265268177,0.6890403811748211,0.00014027615319579266,0.9663990919406598,37
0.6454255947699914,0.407054596222364,0.6795871395331162,0.00014060277764936193,0.9606869037334735,38
0.6797590805934026,0.4398056475015787,0.6841139380748456,0.00013475866748754366,0.9597170123687158,39
0.5995135536560645,0.362338336614462,0.6761747094301077,0.0001320240508693342,0.9621401520875784,40
0.626204674060528,0.38873095925037676,0.6770197244790884,0.00013034847730663247,0.9684182818119342,41
0.6137472116030179,0.37927027619802034,0.6684720195256747,0.00011992117260188724,0.9634644343302801,42
0.587218335041633,0.35539864347531247,0.6608744997244614,0.00011543846463050264,0.9695059794646043,43
0.6147884955772986,0.38213412119792056,0.6632681488990784,0.00010983330251362461,0.966130100763761,44
0.6168038890911982,0.38656730835254377,0.6563658439196073,0.00010647848270869312,0.9638368579057547,45
0.585621884235969,0.3540641115261958,0.6601413992735056,0.00010387941438239068,0.9646392097839942,46
0.5719804626244765,0.3425373136997223,0.6541071580006526,9.891679152273215e-05,0.9618455630082351,47
0.638048373735868,0.40941943113620466,0.651780564051408,9.170070048779823e-05,0.965655111349546,48
0.6117946345072526,0.3839898224060352,0.6494257908601028,9.078845435466904e-05,0.966160237789154,49
0.5561371262256916,0.33121495292736935,0.6411843437414902,8.79754146668487e-05,0.9712938024447515,50
0.5562097751177274,0.3308630700294788,0.6424089119984553,8.451248812399662e-05,0.9649043312439551,51
0.5472535536839411,0.32622925822551435,0.6300605031160208,7.64440270498968e-05,0.967989077934852,52
0.5923856015388782,0.36795762410530675,0.6397867248608515,7.423560208945464e-05,0.9681357557956989,53
0.6182970175376306,0.39573318453935474,0.6344643464455237,7.160809008592668e-05,0.9667994013199439,54
0.5803743532070746,0.35954452477968657,0.6295027870398301,7.116431851710122e-05,0.9721265114270724,55
0.5818669566741357,0.36176743186437166,0.627429934648367,6.630886043869675e-05,0.9649562010398278,56
0.5450935226220351,0.3245851672612704,0.6285853110826932,6.928801919387367e-05,0.9723374522649325,57
0.5778724207327917,0.35642391443252563,0.6312813483751737,6.608298197254323e-05,0.9670118597837595,58
0.5390742398225344,0.32146769074293285,0.6203006872764001,6.364168691036936e-05,0.9707851501611563,59
0.5796076701237605,0.36230714046038115,0.6194243293542129,6.053165130791828e-05,0.9737668908559359,60
0.5397422840962043,0.3219078549971947,0.6209522669131939,5.837888546431294e-05,0.9730866047052237,61
0.5333944880045377,0.31486627688774693,0.6229402193656335,5.725792876686543e-05,0.9696592092514038,62
0.5307778876561385,0.31584943945591265,0.6126533838418814,5.567338023236236e-05,0.9716850152382484,63
0.5295557517271775,0.3129985263714424,0.617310134264139,5.2611485723620994e-05,0.9710558698727534,64
0.5358205483509944,0.31888811863385713,0.6183805144750155,5.3309532142101e-05,0.9718759747651907,65
0.5668311004455273,0.35300832986831665,0.6095006420062139,5.000741965397118e-05,0.9700621595749488,66
0.5570375392070184,0.34416483228023237,0.6067854166030884,5.2546962251653895e-05,0.9693859723898081,67
0.5347823798656464,0.3187899337365077,0.6156969574781564,4.957112944864023e-05,0.9722461929688087,68
0.5233408877482781,0.3096288282137651,0.6091865988878103,4.8055308210538126e-05,0.969462697322552,69
0.5810735523700714,0.3691918208048894,0.6039616694817176,4.4972615376956616e-05,0.967835939847506,70
0.5227421361666459,0.3102638881940108,0.6056618507091815,4.443873471105829e-05,0.9709774209902837,71
0.5480011976682223,0.3358664306310507,0.6046783557304969,4.3763808767275455e-05,0.9727998375892639,72
0.538001170525184,0.32823326610601866,0.597917575102586,4.196222149543106e-05,0.9724908196009122,73
0.5816724254534795,0.3706083366504082,0.60162098132647,4.2281069349533376e-05,0.9723395934471717,74
0.5084855946210715,0.29918920535307664,0.5965688320306631,4.363569790327277e-05,0.9727801863963788,75
0.5135476795526651,0.30556877759786755,0.5928052709652827,4.1881345588570606e-05,0.9731820225715637,76
0.5070311014468853,0.2971782157054314,0.5981643108221201,3.932090084372948e-05,0.9710964010312007,77
0.5453791641272031,0.33622086965120757,0.5961820758306063,3.838153833595033e-05,0.9699248854930584,78
0.5353035101523766,0.3301254946451921,0.5848122743459848,3.639220841040906e-05,0.9692438428218548,79
0.5425092623783991,0.333747352545078,0.5950467586517334,3.582885200068211e-05,0.9732113572267386,80
